"","Feature","MET_1","MET_2","MET_3","CTL_1","CTL_2","CTL_3"
"16499","ERCC-00002",16629,18798,26568,36600,45436,25163
"16500","ERCC-00003",1347,1565,1983,3048,3447,2195
"16501","ERCC-00004",4569,5570,6755,1240,1484,902
"16502","ERCC-00009",811,869,1123,909,1073,537
"16503","ERCC-00012",0,0,0,0,0,0
"16504","ERCC-00013",3,1,2,1,5,1
"16505","ERCC-00014",1,0,0,1,1,1
"16506","ERCC-00016",0,0,0,0,0,0
"16507","ERCC-00017",0,0,0,1,0,0
"16508","ERCC-00019",24,32,43,5,13,4
"16509","ERCC-00022",162,184,227,323,446,218
"16510","ERCC-00024",0,0,0,1,1,0
"16511","ERCC-00025",42,54,74,50,62,29
"16512","ERCC-00028",3,7,6,1,0,0
"16513","ERCC-00031",1,1,8,4,4,3
"16514","ERCC-00033",2,3,1,1,0,0
"16515","ERCC-00034",12,22,24,28,27,12
"16516","ERCC-00035",73,82,120,90,109,60
"16517","ERCC-00039",2,4,3,7,4,2
"16518","ERCC-00040",3,2,2,1,1,0
"16519","ERCC-00041",0,0,0,1,2,0
"16520","ERCC-00042",603,665,908,678,724,450
"16521","ERCC-00043",677,832,1094,1577,1881,1201
"16522","ERCC-00044",17,15,31,31,70,34
"16523","ERCC-00046",3575,4118,4968,8083,9024,5802
"16524","ERCC-00048",0,0,0,0,0,0
"16525","ERCC-00051",13,8,20,17,15,8
"16526","ERCC-00053",36,41,54,40,33,19
"16527","ERCC-00054",9,6,11,7,15,10
"16528","ERCC-00057",0,0,0,0,0,0
"16529","ERCC-00058",0,0,1,3,4,3
"16530","ERCC-00059",2,9,22,18,30,16
"16531","ERCC-00060",331,368,468,322,389,293
"16532","ERCC-00061",0,0,0,0,0,0
"16533","ERCC-00062",86,95,119,13,26,14
"16534","ERCC-00067",3,1,0,4,3,0
"16535","ERCC-00069",3,1,8,4,1,2
"16536","ERCC-00071",43,42,60,70,77,38
"16537","ERCC-00073",2,2,0,0,0,0
"16538","ERCC-00074",11483,14204,18138,19750,23157,13737
"16539","ERCC-00075",0,0,0,0,0,0
"16540","ERCC-00076",175,162,238,287,320,210
"16541","ERCC-00077",0,0,3,3,3,3
"16542","ERCC-00078",44,41,52,84,106,49
"16543","ERCC-00079",59,57,117,142,188,114
"16544","ERCC-00081",0,0,0,0,0,0
"16545","ERCC-00083",1,0,0,0,0,0
"16546","ERCC-00084",33,31,55,39,48,23
"16547","ERCC-00085",6,6,5,1,6,1
"16548","ERCC-00086",0,1,0,1,0,0
"16549","ERCC-00092",273,297,417,84,97,36
"16550","ERCC-00095",29,27,59,11,12,6
"16551","ERCC-00096",8673,10106,14382,9386,12148,6436
"16552","ERCC-00097",0,1,2,0,0,0
"16553","ERCC-00098",0,0,0,0,0,0
"16554","ERCC-00099",26,32,28,36,35,32
"16555","ERCC-00104",0,0,0,0,0,0
"16556","ERCC-00108",1110,1269,1688,357,382,182
"16557","ERCC-00109",1,2,1,4,0,0
"16558","ERCC-00111",417,570,715,724,930,456
"16559","ERCC-00112",36,70,84,109,126,69
"16560","ERCC-00113",3287,3737,5182,5288,6761,3573
"16561","ERCC-00116",96,134,217,35,36,20
"16562","ERCC-00117",0,0,0,0,1,0
"16563","ERCC-00120",1,0,0,0,0,1
"16564","ERCC-00123",0,0,0,0,0,1
"16565","ERCC-00126",1,1,2,1,1,0
"16566","ERCC-00130",17610,20341,30600,4625,6026,3158
"16567","ERCC-00131",120,99,167,26,27,17
"16568","ERCC-00134",1,0,1,0,0,0
"16569","ERCC-00136",544,695,1185,145,198,92
"16570","ERCC-00137",0,0,2,0,2,0
"16571","ERCC-00138",0,0,1,0,1,0
"16572","ERCC-00142",0,0,0,0,0,0
"16573","ERCC-00143",3,5,7,10,3,3
"16574","ERCC-00144",12,14,27,5,3,7
"16575","ERCC-00145",674,786,1007,1230,1354,872
"16576","ERCC-00147",1,1,0,1,0,0
"16577","ERCC-00148",11,7,12,10,20,3
"16578","ERCC-00150",0,1,2,0,0,0
"16579","ERCC-00154",2,5,8,0,2,3
"16580","ERCC-00156",1,0,0,0,0,0
"16581","ERCC-00157",9,15,12,19,24,11
"16582","ERCC-00158",1,2,1,0,1,2
"16583","ERCC-00160",16,15,27,34,28,14
"16584","ERCC-00162",61,68,62,97,93,54
"16585","ERCC-00163",14,13,20,42,38,18
"16586","ERCC-00164",0,0,0,0,2,0
"16587","ERCC-00165",39,45,77,102,106,66
"16588","ERCC-00168",2,1,0,2,2,2
"16589","ERCC-00170",15,13,20,3,7,6
"16590","ERCC-00171",3593,3925,4906,3827,4455,2622
"93","A1BG",12,4,144,39,5,2
"94","A1CF",630,527,484,575,1408,949
"95","A1I3",190699,171621,208403,192092,195568,126854
"96","A2LD1",213,235,217,296,362,342
"97","A2M",1927,8101,1016,241,244,88
"98","A3GALT2",3,4,6,10,11,2
"99","A4GALT",0,0,0,0,0,0
"100","AA926063",0,1,0,1,0,1
"101","AAAS",79,63,73,76,77,67
"102","AACS",22,19,70,53,40,18
"103","AADAC",1176,875,1239,974,622,433
"104","AADACL1",165,216,115,85,589,471
"105","AADACL2",0,0,0,0,0,0
"106","AADACL3",0,0,0,0,0,0
"107","AADAT",2752,2428,3183,2233,2478,1728
"108","AAGAB",92,98,125,69,112,78
"109","AAK1",68,84,53,78,106,60
"110","AAMP",1377,1755,1616,1212,1816,1248
"111","AANAT",0,0,0,0,0,0
"112","AARD",1,1,0,2,2,1
"113","AARS",3186,3539,3108,2967,4170,2673
"114","AARS2",144,171,187,150,197,118
"115","AARSD1",143,140,170,176,198,145
"116","AASDHPPT",398,414,474,325,485,345
"117","AASS",3221,4180,3900,2952,2421,2205
"118","AATF",125,175,152,91,216,137
"119","AATK",25,27,24,17,29,23
"120","ABAT",1784,1729,2592,1875,886,663
"121","ABCA1",1119,1135,1109,1164,1356,717
"122","ABCA13",1,1,1,0,1,1
"123","ABCA15",0,0,0,0,0,0
"124","ABCA17",3,8,2,4,4,4
"125","ABCA2",748,630,835,734,689,540
"126","ABCA4",14,7,21,7,48,51
"127","ABCA5",31,56,24,27,105,58
"128","ABCA7",36,48,46,50,60,38
"129","ABCB10",265,246,309,384,338,274
"130","ABCB11",1874,2257,1665,1925,2965,1959
"131","ABCB1A",153,268,176,125,464,237
"132","ABCB1B",44,71,17,22,185,31
"133","ABCB4",1094,1415,717,1230,4046,4072
"134","ABCB6",874,1136,852,606,881,657
"135","ABCB7",226,273,227,289,420,237
"136","ABCB8",223,198,251,212,213,136
"137","ABCB9",7,7,8,34,13,15
"138","ABCC1",43,36,59,24,48,31
"139","ABCC10",150,170,158,136,335,95
"140","ABCC12",0,0,1,0,0,0
"141","ABCC2",3915,3133,3281,4003,4177,2070
"142","ABCC3",681,1401,1033,59,92,74
"143","ABCC4",126,213,206,122,148,73
"144","ABCC5",135,125,143,142,219,151
"145","ABCC6",5354,4212,6355,6731,7499,5509
"146","ABCC8",68,92,88,86,31,4
"147","ABCC9",279,370,219,401,315,179
"148","ABCD1",601,456,879,932,366,274
"149","ABCD2",27,5,12,43,68,45
